timestamp,src_ip,dst_ip,total_length_of_fwd_packets,total_length_of_bwd_packets,total_fwd_packets,total_backward_packets,flow_duration,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_std,average_packet_size,flow_bytes/s,flow_packets/s
2026-05-24 18:45:10.922840,10.0.0.99,185.15.59.22,135,240,3,2,150000,45.0,0.0,0.0,75.0,2500.0,33.333333333333336
2026-05-24 18:47:10.922840,192.168.1.22,104.21.44.11,1489,36340,10,31,2191913,269.6188839423844,432.8684473658473,341.0571671988612,757.8576292006803,17258.44045817512,18.705121964238543
2026-05-24 18:47:10.922840,192.168.1.105,104.21.44.11,895,18324,34,3,1694532,745.2379584359794,77.20275919484415,692.1967772107473,79.19988097647025,11341.774602073021,21.8349373160259
2026-05-24 18:50:10.922840,192.168.1.22,13.250.177.223,3888,26266,33,10,4186426,931.3982623225198,482.0465570185586,66.45664486358316,990.6833151477763,7202.802581485974,10.271291072623761
2026-05-24 18:54:10.922840,192.168.1.105,13.250.177.223,2845,40278,17,17,1608099,1429.0779024345263,235.1961880346753,992.0431197662568,1495.576655246921,26816.135076260853,21.142976893835517
2026-05-24 18:59:10.922840,192.168.1.15,8.8.8.8,2811,42729,48,43,3897008,863.5480820969359,163.77513602996362,717.6057436795063,1247.6018473975234,11685.888250678468,23.351247931746613
2026-05-24 19:00:10.922840,192.168.1.105,142.250.190.46,3742,11331,11,48,2343679,261.3288092081451,451.47083888832924,734.1814994027077,1421.657790276119,6431.341493438308,25.17409594061303
2026-05-24 19:02:10.922840,192.168.1.105,13.250.177.223,985,34554,25,37,4715815,131.2883917845548,116.92169193056439,700.8544576501183,262.70791532201326,7536.131082326173,13.14725026321007
2026-05-24 19:03:10.922840,192.168.1.105,142.250.190.46,3442,9935,48,35,3370492,960.1609404059906,387.0299581002031,127.03643606817771,127.77044770520472,3968.8567722457137,24.625484944037844
2026-05-24 19:05:10.922840,192.168.1.15,142.250.190.46,892,15496,22,40,1619473,1327.2682932915218,196.07824623046557,814.3490828337299,1444.0540984809718,10119.3412918894,38.284059073538124
2026-05-24 19:06:10.922840,192.168.1.22,13.250.177.223,1236,26517,35,28,729407,1141.2268610866531,293.61530971085085,42.332470176650915,120.12593102073227,38048.71628596928,86.37153194307156
2026-05-24 19:07:10.922840,192.168.1.22,13.250.177.223,3572,48408,9,20,2835494,364.23077121224804,296.01965798836835,334.89768796963585,747.8530292678937,18331.902659642376,10.227494750473815
2026-05-24 19:08:10.922840,192.168.1.22,13.250.177.223,614,20921,38,20,873659,527.0974579218239,331.94494413471256,135.55578232491462,399.6895607462548,24649.205239115032,66.38745780676443
2026-05-24 19:12:10.922840,192.168.1.22,13.250.177.223,1347,27617,17,11,3395744,900.6028246476579,464.29065311358016,891.4804776467134,1436.623228194374,8529.500457042697,8.245615688343998
2026-05-24 19:20:10.922840,192.168.1.22,13.250.177.223,2443,42399,27,43,3275962,1305.4847175787604,400.1583107652706,816.5242946628894,136.40129116205838,13688.192964387255,21.367769223208327
2026-05-24 19:21:10.922840,192.168.1.22,104.21.44.11,1955,29844,49,42,816564,311.0441891558148,147.7143775817757,995.6132114857809,1335.2515248422055,38942.44664227177,111.44258135308439
2026-05-24 19:23:10.922840,192.168.1.105,13.250.177.223,4643,38150,31,11,4089441,1375.241049218896,100.78247413782861,552.6637507007418,1368.416406933639,10464.26638750871,10.27035235378136
2026-05-24 19:26:10.922840,192.168.1.15,142.250.190.46,4332,42767,39,27,2806461,483.7560678923399,29.771905161252857,331.9590843134492,854.3611147594137,16782.34616479616,23.517162718455733
2026-05-24 19:32:10.922840,192.168.1.105,13.250.177.223,3666,16956,32,16,562439,42.90851741984259,48.68030744381222,503.148644112562,1493.8149554744184,36665.30948245054,85.34258826290495
2026-05-24 19:36:10.922840,192.168.1.105,8.8.8.8,4544,39920,48,46,4542688,489.3819142538886,415.160694876649,755.9373895530008,585.2474810233465,9788.037391077705,20.692594340619475
2026-05-24 19:39:10.922840,192.168.1.15,104.21.44.11,2483,6971,27,41,3908190,1448.9224394035289,336.93404522514874,979.3600395496094,369.9440364515353,2419.022616607688,17.399358782454282
2026-05-24 19:45:10.922840,10.0.0.99,185.15.59.22,135,240,3,2,150000,45.0,0.0,0.0,75.0,2500.0,33.333333333333336
2026-05-24 19:50:10.922840,192.168.1.22,104.21.44.11,4093,6224,37,24,445477,1318.7893019349033,498.1172600144016,826.2268024285036,1271.1397961430525,23159.444819822347,136.93187302599236
2026-05-24 20:13:10.922840,192.168.1.15,104.21.44.11,2275,26158,39,15,116022,1145.6729024162807,192.5413041421799,436.9215310936423,741.4163727130303,245065.59100860183,465.42897036768886
2026-05-24 20:17:10.922840,192.168.1.15,8.8.8.8,4560,27223,36,19,709539,778.6985452930002,47.7161179966283,86.03501783127732,927.3798018837806,44793.87320499648,77.51511897161396
2026-05-24 20:19:10.922840,192.168.1.22,142.250.190.46,3489,34947,39,41,1568426,1197.4268458163067,251.48159642108405,663.0933702011696,830.6727199660886,24506.097195532333,51.006550516250044
2026-05-24 20:21:10.922840,192.168.1.22,13.250.177.223,645,30356,20,8,1628963,472.9774718206588,113.701590299232,93.286385636789,375.7532265805616,19031.125937175984,17.18884959326885
2026-05-24 20:24:10.922840,192.168.1.15,13.250.177.223,3838,16853,37,25,4609757,1422.2312442281575,105.6315934371387,434.7717456096393,645.4898178649102,4488.5229308182625,13.449732816718972
2026-05-24 20:24:10.922840,192.168.1.22,104.21.44.11,1566,18274,24,45,2658202,514.9308956736254,384.5331593538494,947.2886822453183,192.7150741969847,7463.691623134735,25.957395261910115
2026-05-24 20:24:10.922840,192.168.1.105,8.8.8.8,384,19243,49,10,1532534,1215.4318650036676,377.6302243300327,279.2350138042167,223.93176550990623,12806.893680662222,38.49833021649112
2026-05-24 20:29:10.922840,192.168.1.15,104.21.44.11,462,31848,23,17,1289180,930.6108289360491,273.6311256283125,679.7189120253984,1028.5951444285245,25062.442793093283,31.027474828961044
2026-05-24 20:38:10.922840,192.168.1.105,104.21.44.11,3664,31159,15,30,4476951,1303.3318080070121,113.50359742173619,447.6859643329228,934.6564869525403,7778.284819288842,10.051483699508886
2026-05-24 20:42:10.922840,192.168.1.15,104.21.44.11,691,41247,19,45,2444003,398.21437868266815,228.89011835667498,365.0353661340555,1099.8423237207357,17159.553404803515,26.186547234189156
2026-05-24 20:45:10.922840,10.0.0.99,185.15.59.22,135,240,3,2,150000,45.0,0.0,0.0,75.0,2500.0,33.333333333333336
2026-05-24 20:45:10.922840,192.168.1.22,142.250.190.46,3862,36878,30,35,772371,557.2361377371349,55.25665877457547,644.5558728177701,1273.625146284847,52746.67225983368,84.15644813179158
2026-05-24 20:47:10.922840,192.168.1.105,104.21.44.11,2757,1161,24,18,1580057,1417.8043255175223,283.93904962383505,820.5528271892102,1144.943745295534,2479.657379448969,26.581319534675014
2026-05-24 20:48:10.922840,192.168.1.15,13.250.177.223,2013,17587,48,36,1396689,841.3336510129396,174.2867345383649,44.32597718380572,302.8934373116743,14033.188490780696,60.14223638906012
2026-05-24 20:53:10.922840,192.168.1.105,8.8.8.8,138,23753,23,46,1428412,703.3443176787765,499.7832745927149,782.0226751699674,294.84477188707274,16725.56657322957,48.30539088162239
